KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-11,7.941,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-12,7.9261,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-13,7.8938,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-14,7.8963,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-17,7.9236,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-18,7.8607,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-19,7.8309,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-20,7.7605,A,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-21,,H,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
EXR.D.CNY.EUR.SP00.A,D,CNY,EUR,SP00,A,2000-04-24,,H,,,,P1D,,A,,,,,,,99Q1=100,,,4,,4F0,,Chinese yuan renminbi/Euro,"ECB reference exchange rate, Chinese yuan renminbi/Euro, 2.15 pm (C.E.T.)",CNY,0
